# https://lysvc.cc/tools/m3u_txt_change.php
# https://live.fanmingming.com/txt2m3u/

央视频道,#genre#
CCTV8,http://115.197.136.82:8888/rtp/233.50.201.199:5140
CCTV8,http://202.111.192.14:5146/rtp/238.1.78.173:7256
CCTV8,http://171.109.20.22:4566/rtp/239.81.0.234:4056
CCTV8,http://180.140.176.179:40222/rtp/239.81.0.234:4056
CCTV8,http://116.9.4.13:4000/rtp/239.81.0.234:4056
CCTV8,http://14.145.217.126:8888/rtp/239.77.0.172:5146
CCTV8,http://27.10.212.233:8002/rtp/225.0.4.137:7980
CCTV8,http://182.138.203.83:8888/rtp/239.93.42.39:5140
CCTV8,http://222.212.84.190:54123/rtp/239.93.42.39:5140
cctv9,http://119.49.221.50:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV9,http://139.209.37.241:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://60.187.246.93:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://123.159.35.24:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://119.163.61.26:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV9,http://124.65.0.27:20000/rtp/239.3.1.62:8112
CCTV9,http://111.193.239.245:9999/rtp/239.3.1.62:8112
CCTV9,http://117.13.25.76:8888/rtp/225.1.1.119:5002
CCTV9,http://1.70.182.81:61201/rtp/239.1.1.16:8016
CCTV9,http://123.174.106.183:8888/rtp/239.1.1.16:8016
CCTV9,http://121.27.124.21:3488/rtp/239.253.92.107:6020
CCTV9,http://110.253.49.92:8686/rtp/239.253.92.107:6020
CCTV9,http://49.85.119.109:8887/rtp/239.49.8.53:9814
CCTV9,http://121.232.159.212:8188/rtp/239.49.8.53:9814
CCTV9,http://117.86.51.89:8888/rtp/239.49.8.53:9814
CCTV9,http://115.197.136.82:8888/rtp/233.50.201.121:5140
CCTV9,http://202.111.192.14:5146/rtp/238.1.78.240:7792
CCTV9,http://171.109.20.22:4566/rtp/239.81.0.117:4056
CCTV9,http://180.140.176.179:40222/rtp/239.81.0.117:4056
CCTV9,http://116.9.4.13:4000/rtp/239.81.0.117:4056
CCTV9,http://14.145.217.126:8888/rtp/239.77.1.160:5146
CCTV9,http://183.66.66.199:2345/rtp/235.254.198.58:1508
CCTV9,http://27.10.212.233:8002/rtp/225.0.4.131:7980
cctv10,http://119.49.221.50:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV10,http://139.209.37.241:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://60.187.246.93:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://123.159.35.24:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://119.163.61.26:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV10,http://111.193.239.245:9999/rtp/239.3.1.63:8116
CCTV10,http://117.13.25.76:8888/rtp/225.1.1.140:5002
CCTV10,http://123.174.106.183:8888/rtp/239.1.1.17:8017
CCTV10,http://121.27.124.21:3488/rtp/239.253.92.196:6061
CCTV10,http://121.29.169.49:2083/rtp/239.253.92.196:6061
CCTV10,http://110.253.49.92:8686/rtp/239.253.92.196:6061
CCTV10,http://171.116.192.34:8084/rtp/226.0.2.162:9208
CCTV10,http://49.85.119.109:8887/rtp/239.49.8.54:9818
CCTV10,http://121.232.159.212:8188/rtp/239.49.8.54:9818
CCTV10,http://117.86.51.89:8888/rtp/239.49.8.54:9818
CCTV10,http://115.197.136.82:8888/rtp/233.50.201.122:5140
CCTV10,http://202.111.192.14:5146/rtp/238.1.78.241:7800
CCTV10,http://220.169.109.72:802/rtp/239.76.253.160:9000
CCTV10,http://171.109.20.22:4566/rtp/239.81.0.118:4056
CCTV10,http://180.140.176.179:40222/rtp/239.81.0.118:4056
